datetime,Active_power
16/12/2006 17:00,0
16/12/2006 17:30,0
16/12/2006 18:00,0
16/12/2006 18:30,0
16/12/2006 19:00,0
16/12/2006 19:30,0
16/12/2006 20:00,0
16/12/2006 20:30,0
16/12/2006 21:00,0
16/12/2006 21:30,0
16/12/2006 22:00,0
16/12/2006 22:30,26.83291966
16/12/2006 23:00,53.15322638
16/12/2006 23:30,53.0854919
17/12/2006 0:00,53.02702162
17/12/2006 0:30,53.03774681
17/12/2006 1:00,53.6210118
17/12/2006 1:30,53.5068093
17/12/2006 2:00,53.32603367
17/12/2006 2:30,53.27941247
17/12/2006 3:00,53.10850879
17/12/2006 3:30,53.59159569
17/12/2006 4:00,26.54540021
17/12/2006 4:30,0
17/12/2006 5:00,0
17/12/2006 5:30,0
17/12/2006 6:00,0
17/12/2006 6:30,0
17/12/2006 7:00,0
17/12/2006 7:30,0
17/12/2006 8:00,0
17/12/2006 8:30,0
17/12/2006 9:00,0
17/12/2006 9:30,0
17/12/2006 10:00,0
17/12/2006 10:30,26.54254003
17/12/2006 11:00,53.57947564
17/12/2006 11:30,53.51223659
17/12/2006 12:00,53.34773672
17/12/2006 12:30,53.18856296
17/12/2006 13:00,53.02527393
17/12/2006 13:30,53.42361559
17/12/2006 14:00,53.26480149
17/12/2006 14:30,53.68686782
17/12/2006 15:00,53.45306895
17/12/2006 15:30,53.31190687
17/12/2006 16:00,26.84624956
17/12/2006 16:30,0
17/12/2006 17:00,0
17/12/2006 17:30,0
17/12/2006 18:00,0
17/12/2006 18:30,0
17/12/2006 19:00,0
17/12/2006 19:30,0
17/12/2006 20:00,0
17/12/2006 20:30,0
17/12/2006 21:00,0
17/12/2006 21:30,0
17/12/2006 22:00,0
17/12/2006 22:30,26.53109889
17/12/2006 23:00,53.24863504
17/12/2006 23:30,53.16176263
18/12/2006 0:00,53.02632499
18/12/2006 0:30,53.01738603
18/12/2006 1:00,53.36895723
18/12/2006 1:30,53.31408287
18/12/2006 2:00,53.19374588
18/12/2006 2:30,53.49583181
18/12/2006 3:00,53.3767673
18/12/2006 3:30,53.03457919
18/12/2006 4:00,26.75258541
18/12/2006 4:30,0
18/12/2006 5:00,0
18/12/2006 5:30,0
18/12/2006 6:00,0
18/12/2006 6:30,0
18/12/2006 7:00,0
18/12/2006 7:30,0
18/12/2006 8:00,0
18/12/2006 8:30,0
18/12/2006 9:00,0
18/12/2006 9:30,0
18/12/2006 10:00,0
18/12/2006 10:30,26.69065435
18/12/2006 11:00,53.5000028
