datetime,Active_power
16/12/2006 17:00,0
16/12/2006 17:30,0
16/12/2006 18:00,0
16/12/2006 18:30,0
16/12/2006 19:00,0
16/12/2006 19:30,0
16/12/2006 20:00,0
16/12/2006 20:30,0
16/12/2006 21:00,0
16/12/2006 21:30,0
16/12/2006 22:00,0
16/12/2006 22:30,3.458708238
16/12/2006 23:00,6.928510603
16/12/2006 23:30,6.903034014
17/12/2006 0:00,6.881859086
17/12/2006 0:30,6.925932371
17/12/2006 1:00,6.909684343
17/12/2006 1:30,6.915728712
17/12/2006 2:00,6.897708045
17/12/2006 2:30,6.895019039
17/12/2006 3:00,6.915085032
17/12/2006 3:30,6.920592756
17/12/2006 4:00,3.446367882
17/12/2006 4:30,0
17/12/2006 5:00,0
17/12/2006 5:30,0
17/12/2006 6:00,0
17/12/2006 6:30,0
17/12/2006 7:00,0
17/12/2006 7:30,0
17/12/2006 8:00,0
17/12/2006 8:30,0
17/12/2006 9:00,0
17/12/2006 9:30,0
17/12/2006 10:00,0
17/12/2006 10:30,3.46254162
17/12/2006 11:00,6.912440058
17/12/2006 11:30,6.876921851
17/12/2006 12:00,6.892689005
17/12/2006 12:30,6.857400727
17/12/2006 13:00,6.85336207
17/12/2006 13:30,6.869854821
17/12/2006 14:00,6.924630053
17/12/2006 14:30,6.913257864
17/12/2006 15:00,6.904951235
17/12/2006 15:30,6.856844713
17/12/2006 16:00,3.455536034
17/12/2006 16:30,0
17/12/2006 17:00,0
17/12/2006 17:30,0
17/12/2006 18:00,0
17/12/2006 18:30,0
17/12/2006 19:00,0
17/12/2006 19:30,0
17/12/2006 20:00,0
17/12/2006 20:30,0
17/12/2006 21:00,0
17/12/2006 21:30,0
17/12/2006 22:00,0
17/12/2006 22:30,3.421098794
17/12/2006 23:00,6.851053225
17/12/2006 23:30,6.900864402
18/12/2006 0:00,6.846760176
18/12/2006 0:30,6.874895369
18/12/2006 1:00,6.902991761
18/12/2006 1:30,6.927585556
18/12/2006 2:00,6.909095498
18/12/2006 2:30,6.916477238
18/12/2006 3:00,6.894780318
18/12/2006 3:30,6.878366923
18/12/2006 4:00,3.441054712
18/12/2006 4:30,0
18/12/2006 5:00,0
18/12/2006 5:30,0
18/12/2006 6:00,0
18/12/2006 6:30,0
18/12/2006 7:00,0
18/12/2006 7:30,0
18/12/2006 8:00,0
18/12/2006 8:30,0
18/12/2006 9:00,0
18/12/2006 9:30,0
18/12/2006 10:00,0
18/12/2006 10:30,3.452077386
18/12/2006 11:00,6.903029198
